isvalid2017,minutes2017,points2017,influence2017,creativity2017,threat2017,isvalid2018,minutes2018,points2018,influence2018,creativity2018,threat2018,isvalid2019,minutes2019,points2019,influence2019,creativity2019,threat2019,isvalidgw-less-1,minutesgw-less-1,pointsgw-less-1,influencegw-less-1,creativitygw-less-1,threatgw-less-1,athomegw-less-1,difficultygw-less-1,isvalidgw-less-2,minutesgw-less-2,pointsgw-less-2,influencegw-less-2,creativitygw-less-2,threatgw-less-2,athomegw-less-2,difficultygw-less-2,isvalidgw-less-3,minutesgw-less-3,pointsgw-less-3,influencegw-less-3,creativitygw-less-3,threatgw-less-3,athomegw-less-3,difficultygw-less-3,isvalidgw-less-4,minutesgw-less-4,pointsgw-less-4,influencegw-less-4,creativitygw-less-4,threatgw-less-4,athomegw-less-4,difficultygw-less-4,isvalidgw-less-5,minutesgw-less-5,pointsgw-less-5,influencegw-less-5,creativitygw-less-5,threatgw-less-5,athomegw-less-5,difficultygw-less-5,isvalidgw-less-6,minutesgw-less-6,pointsgw-less-6,influencegw-less-6,creativitygw-less-6,threatgw-less-6,athomegw-less-6,difficultygw-less-6,isvalidgw-less-7,minutesgw-less-7,pointsgw-less-7,influencegw-less-7,creativitygw-less-7,threatgw-less-7,athomegw-less-7,difficultygw-less-7,isvalidgw-less-8,minutesgw-less-8,pointsgw-less-8,influencegw-less-8,creativitygw-less-8,threatgw-less-8,athomegw-less-8,difficultygw-less-8,isvalidgw-less-9,minutesgw-less-9,pointsgw-less-9,influencegw-less-9,creativitygw-less-9,threatgw-less-9,athomegw-less-9,difficultygw-less-9,isvalidgw-less-10,minutesgw-less-10,pointsgw-less-10,influencegw-less-10,creativitygw-less-10,threatgw-less-10,athomegw-less-10,difficultygw-less-10,isvalidgw-less-11,minutesgw-less-11,pointsgw-less-11,influencegw-less-11,creativitygw-less-11,threatgw-less-11,athomegw-less-11,difficultygw-less-11,isvalidgw-less-12,minutesgw-less-12,pointsgw-less-12,influencegw-less-12,creativitygw-less-12,threatgw-less-12,athomegw-less-12,difficultygw-less-12,isvalidgw-less-13,minutesgw-less-13,pointsgw-less-13,influencegw-less-13,creativitygw-less-13,threatgw-less-13,athomegw-less-13,difficultygw-less-13,isvalidgw-less-14,minutesgw-less-14,pointsgw-less-14,influencegw-less-14,creativitygw-less-14,threatgw-less-14,athomegw-less-14,difficultygw-less-14,isvalidgw-less-15,minutesgw-less-15,pointsgw-less-15,influencegw-less-15,creativitygw-less-15,threatgw-less-15,athomegw-less-15,difficultygw-less-15,playerid,teamid,position,selectedby,transfersin,transfersout,diff,home,value,points
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,0.0,0.0,4,0,45.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,1203.0,179.0,2,1,45.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,146.0,473.0,3,0,45.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,523.0,273.0,4,1,44.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,493.0,314.0,3,1,44.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,153.0,194.0,4,0,44.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,71.0,161.0,2,0,44.0,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,9.0,37.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,14023.0,417.0,2,1,44.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,2.0,12.6,0.0,0.0,1.0,2,1.0,90.0,9.0,37.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,12414.0,2361.0,3,0,44.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,1.0,21.2,0.0,0.0,0.0,3,1.0,90.0,2.0,12.6,0.0,0.0,1.0,2,1.0,90.0,9.0,37.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1.0,90.0,1.0,19.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,597,3,1,0.4,8919.0,2872.0,3,1,44.0,0.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,11102.0,55822.0,4,1,55.0,2.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,4048.0,42377.0,4,1,54.0,3.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,7944.0,37983.0,2,0,54.0,9.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,12667.0,24076.0,3,1,54.0,10.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,10.0,34.2,0.0,0.0,1.0,3,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,3609.0,49591.0,5,0,54.0,0.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,90.0,10.0,34.2,0.0,0.0,1.0,3,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,4240.0,54548.0,3,1,54.0,3.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,3.0,37.8,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,90.0,10.0,34.2,0.0,0.0,1.0,3,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,6494.0,15193.0,3,0,54.0,11.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,11.0,51.8,0.0,0.0,0.0,3,1.0,90.0,3.0,37.8,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,90.0,10.0,34.2,0.0,0.0,1.0,3,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,9316.0,8187.0,3,0,54.0,11.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,11.0,47.2,0.0,0.0,0.0,3,1.0,90.0,11.0,51.8,0.0,0.0,0.0,3,1.0,90.0,3.0,37.8,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,90.0,10.0,34.2,0.0,0.0,1.0,3,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,39929.0,5610.0,3,1,54.0,2.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,2.0,16.8,10.0,0.0,1.0,3,1.0,90.0,11.0,47.2,0.0,0.0,0.0,3,1.0,90.0,11.0,51.8,0.0,0.0,0.0,3,1.0,90.0,3.0,37.8,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,90.0,10.0,34.2,0.0,0.0,1.0,3,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,27788.0,15850.0,3,0,54.0,3.0
1.0,3114.0,152.0,862.4,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3420.0,170.0,900.0,30.3,2.0,1.0,90.0,3.0,14.0,0.0,0.0,0.0,3,1.0,90.0,2.0,16.8,10.0,0.0,1.0,3,1.0,90.0,11.0,47.2,0.0,0.0,0.0,3,1.0,90.0,11.0,51.8,0.0,0.0,0.0,3,1.0,90.0,3.0,37.8,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0,90.0,10.0,34.2,0.0,0.0,1.0,3,1.0,90.0,9.0,30.2,0.0,0.0,0.0,2,1.0,90.0,3.0,38.8,0.0,0.0,1.0,4,1.0,90.0,2.0,19.6,0.0,0.0,1.0,4,1.0,90.0,11.0,47.4,0.0,0.0,0.0,2,1.0,90.0,1.0,8.2,0.0,0.0,0.0,3,1.0,90.0,2.0,2.4,0.0,0.0,1.0,3,1.0,90.0,1.0,22.6,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,96,4,1,10.2,42778.0,13122.0,2,1,54.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,99,4,1,1.6,1221.0,5558.0,4,1,40.0,0.0
